stab,tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4
0.7157402383459831,0.2588010041860598,0.27156069648383907,0.8296155141478818,0.9769776241690057,0.5092439390643755,0.8116424740302945,0.49507533498185863,0.18457209644674055,0.6320976989887714,0.8522291924563131,0.8815311316520353,0.9558943132527946
0.39335932471124446,0.9267927233277355,0.4634235794744878,0.2681169846406324,0.09147142935789998,0.8139566090693424,0.03989413243398765,0.08480920249256618,0.49664207257842286,0.3825883150862175,0.8552147666148129,0.5390779960920978,0.7703234230879754
0.4429396241428112,0.8917993927121078,0.8787952548850618,0.2680051816678309,0.07517079766013743,0.42565193877660107,0.5283667921506298,0.4818639998625066,0.7196697068058461,0.1189898214739212,0.7544396246977372,0.8310000407041774,0.06297994854295483
0.5765074118472341,0.02270018945413764,0.7547040337463464,0.41962254666826915,0.1937146825010826,0.5561179091033668,0.6483723706928051,0.04067047024369841,0.668412240888787,0.4170839253965437,0.9755759273029866,0.9256772101466694,0.3291807229759167
0.6868854514469775,0.2772300482755624,0.7483008779841526,0.4677470591662269,0.9850646941378939,0.45382977034826116,0.5829911313452176,0.10265527446969536,0.9638106450131191,0.786481084359065,0.42678240298218045,0.6388830275998194,0.8115525122104251
0.3332664744897293,0.68413907172409,0.9062506931613104,0.3456568732019072,0.39660242204165747,0.6649213751611442,0.0951816426217047,0.8864406239278915,0.06519994379489713,0.2229470043054931,0.02934712030779811,0.5188078396519612,0.44204848970318544
0.4559952145125584,0.6537093225785497,0.3437018510341208,0.6767823071874759,0.8756832233312674,0.1902994488478717,0.9236680836851214,0.5274573813630035,0.9506772728788329,0.13462103287273636,0.3662771920434539,0.37054619704519615,0.34382698273995993
0.5121613527292346,0.6793281750084488,0.09252756258839412,0.54940495374099,0.7758561406187063,0.38345897594188066,0.834049640206763,0.542331288480189,0.4739949322173723,0.338315774436565,0.6139128969903808,0.7186724691579189,0.34794761964029963
0.22130113091984363,0.44101501183204894,0.36923354163816513,0.10293920743971421,0.34038579095185667,0.5742196509479061,0.39308804629897875,0.5078701258044328,0.40481003818272976,0.23127965526985736,0.2108779590206762,0.12094328119580766,0.4552165592415056
0.4898074717216231,0.9833689480851004,0.09617995235338853,0.9758287574310781,0.7517807772229775,0.7345005826164352,0.00568588251986335,0.7616030862366095,0.08089320527723953,0.3435489386145595,0.5204408864747699,0.7810966966909161,0.06972757136006662
0.2752817529041419,0.5715866969384178,0.6558875717076216,0.604753578454762,0.0034545377487064793,0.17387477423458914,0.8650518092848836,0.5887334343472003,0.9949021999644918,0.19981132821981964,0.5401213277423685,0.12043788472488784,0.7407850412908822
0.5726142092716671,0.5138090829653612,0.7910127116423881,0.7995216715613478,0.6599425533697041,0.9166554728466165,0.01812069312945508,0.1004166005212157,0.20962823035944722,0.32630346376787944,0.13003143561754243,0.31485556217165866,0.6093599145868547
0.16902959529114403,0.11748940200824566,0.256754211191846,0.03358399722666378,0.38860326512021176,0.5067209846038834,0.3433873570521455,0.4796162725220178,0.675451160656625,0.8944774256540006,0.8595644436951052,0.2672485156897749,0.02903630595764882
0.5706448074314381,0.8475712624059084,0.8226380638480469,0.2157330904106365,0.9923532747620539,0.7728296986197609,0.12752826901577774,0.5553028542811763,0.05593706038712143,0.5920389356782016,0.24311179856904547,0.3203282255774735,0.44442877474523035
